Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
Finastra's The Dual Edge: Sharpening Technical and Functional Skills for the Future of Finance ,https://events.herkey.com/events/finastra-s-the-dual-edge-sharpening-technical-and-functional-skills-for-the-future-of-finance/1646,https://assets.jobsforher.com/uploads/v3/events/18efe25d2a396554ad4733fa917f5228964d945764f6c21d37.png,Career Development,Online,"26th Sep, 2024",11:00am to 12:00pm,Any,N/A
HerRising 2024 ,https://events.herkey.com/events/herrising-2024/1635,https://assets.jobsforher.com/uploads/v3/events/ba831758c14e9e3309cbee7f607b873bc820db7ec6c7bb0f61.png,"Career Development, Job fairs, Conferences, Awards",Offline,"5th Sep, 2024 to 14th Sep, 2024",9:00am to 1:00pm,Any,N/A
Accenture Webinar: Career Reboot for Women ,https://events.herkey.com/events/accenture-webinar-career-reboot-for-women/1643,https://assets.jobsforher.com/uploads/v3/events/834d6834ba16df84ad31d5713d281a9b76f14b71737379b970.png,Career Development,Online,"6th Sep, 2024",10:00am to 11:00am,Any,N/A
"The Kohler DE&I Konclave: “Creating a More Diverse, Equitable, and Inclusive Organization and Society.” ",https://events.herkey.com/events/the-kohler-de-i-konclave-creating-a-more-diverse-equitable-and-inclusive-organization-and-society/1644,https://assets.jobsforher.com/uploads/v3/events/9530d9fdede24d393a8540c2b465f33f4f62ce9c994b205055.png,Career Development,Offline,"3rd Sep, 2024",4:30pm to 7:30pm,Pune,N/A
Join Akamai’s online certificate programs today ,https://events.herkey.com/events/join-akamai-s-online-certificate-programs-today/1641,https://assets.jobsforher.com/uploads/v3/events/0d5b82a23f3e8889ae92c11d2901ed4654cb4a2e56dda33593.png,"Career Development, Diversity Drive",Online,"22nd Jul, 2024 to 31st Aug, 2024",10:00am to 6:00pm,Any,N/A
Campus to Corporate Program in collaboration with WEE ,https://events.herkey.com/events/campus-to-corporate-program-in-collaboration-with-wee/1600,https://assets.jobsforher.com/uploads/v3/events/8ec5ac4faa9121c6dca29350ad589d1c5626290e7a4fb41f96.png,"Career Development, Resume-Writing",Online,"23rd Apr, 2024 to 31st Aug, 2024",9:30am to 5:00pm,Any,N/A
Reclaiming Confidence: Overcoming Imposter Syndrome Post-Maternity ,https://events.herkey.com/events/reclaiming-confidence-overcoming-imposter-syndrome-post-maternity/1642,https://assets.jobsforher.com/uploads/v3/events/88f921f7b75ad5d24b1244c783225fae6835aae10a202f81bd.png,"Career Development, Diversity Drive, Women Returnees",Online,"6th Aug, 2024",11:00am to 12:00pm,Any,N/A
Accenture: Career Launchpad Webinar ,https://events.herkey.com/events/accenture-career-launchpad-webinar/1628,https://assets.jobsforher.com/uploads/v3/events/6951b998be7b935e802c1d796531cdd14a37a8848c355cd2fa.png,Career Development,Online,"1st Aug, 2024",10:00am to 11:00am,Any,N/A
Visa Returnship Program for Women 2024 ,https://events.herkey.com/events/visa-returnship-program-for-women-2024/1636,https://assets.jobsforher.com/uploads/v3/events/e6585c2728445f8cf93ce6f1592beaa2fdd5f734d6d21a75de.png,Career Development,Online,"1st Jul, 2024 to 31st Jul, 2024",12:00am to 11:59pm,Any,N/A
Power Up Your Future: Explore Careers for Women Professionals at ABB ,https://events.herkey.com/events/power-up-your-future-explore-careers-for-women-professionals-at-abb/1637,https://assets.jobsforher.com/uploads/v3/events/280b5e370cbef53f6b755ce50d0bef846161784755c4df6f04.png,Career Development,Online,"26th Jul, 2024",11:00am to 12:30pm,Any,N/A
